ablation,run,epoch,train_loss,val_loss,train_acc,val_acc,ema_val_acc,total_time_seconds
baseline,1,0,1.5801,1.3648,0.5918,0.7399,,6.5702
baseline,1,1,1.2637,1.3091,0.8203,0.7629,,13.4295
baseline,1,2,1.2109,1.2034,0.8281,0.8255,,20.2784
baseline,1,3,1.1396,1.1808,0.8477,0.8364,,26.8332
baseline,1,4,1.0781,1.1139,0.8887,0.8751,,33.1625
baseline,1,5,1.0596,1.0909,0.9082,0.8834,,39.3335
baseline,1,6,1.0371,1.0892,0.8984,0.8882,,45.3463
baseline,1,7,0.981,1.034,0.9492,0.917,,51.3091
baseline,1,8,0.9624,1.0153,0.957,0.9257,,57.2748
baseline,1,9,0.9312,0.9954,0.9727,0.9369,,63.2408
baseline,1,10,0.9268,0.9913,0.9785,0.9361,0.942,69.242
baseline,1,11,0.9194,0.9892,0.9805,0.9377,0.9419,75.3572
baseline,2,0,1.5664,1.3706,0.6445,0.7328,,6.2479
baseline,2,1,1.2881,1.2999,0.7754,0.775,,12.5671
baseline,2,2,1.2031,1.1585,0.8184,0.8522,,18.8821
baseline,2,3,1.1826,1.1622,0.8379,0.8477,,25.1978
baseline,2,4,1.0654,1.1556,0.9062,0.8454,,31.4786
baseline,2,5,1.0918,1.0698,0.877,0.8956,,37.7452
baseline,2,6,1.0762,1.0587,0.8926,0.9046,,43.9538
baseline,2,7,1.0137,1.0297,0.9258,0.9173,,50.1443
baseline,2,8,0.9966,1.0154,0.9316,0.9257,,56.3004
baseline,2,9,0.9502,0.9954,0.9648,0.9358,,62.4282
baseline,2,10,0.9194,0.9896,0.9785,0.9377,0.9429,68.5732
baseline,2,11,0.9126,0.9905,0.9883,0.9372,0.9432,74.7247
baseline,3,0,1.5137,1.391,0.6562,0.7185,,6.1748
baseline,3,1,1.2822,1.2493,0.7871,0.8037,,12.3546
baseline,3,2,1.1846,1.2057,0.8477,0.824,,18.5146
baseline,3,3,1.1475,1.1538,0.8535,0.8525,,24.6883
baseline,3,4,1.1357,1.0988,0.8594,0.8835,,30.8645
baseline,3,5,1.0889,1.1137,0.8867,0.8726,,37.0495
baseline,3,6,1.0264,1.0651,0.9219,0.8981,,43.252
baseline,3,7,1.04,1.0376,0.8984,0.9119,,49.4685
baseline,3,8,0.9785,1.0121,0.9492,0.9294,,55.692
baseline,3,9,0.9502,0.995,0.9629,0.9358,,61.9211
baseline,3,10,0.9243,0.992,0.9766,0.9356,0.9401,68.1549
baseline,3,11,0.9072,0.9952,0.9902,0.9344,0.9409,74.3914
no_se,1,0,1.5635,1.4034,0.6309,0.7191,,6.2764
no_se,1,1,1.2666,1.3646,0.7852,0.7374,,12.5216
no_se,1,2,1.2051,1.2835,0.8145,0.7806,,18.7381
no_se,1,3,1.1514,1.1805,0.8477,0.8327,,24.9284
no_se,1,4,1.1064,1.118,0.877,0.8733,,31.1146
no_se,1,5,1.0654,1.0856,0.8828,0.8857,,37.2932
no_se,1,6,1.0957,1.0645,0.8691,0.8984,,43.4961
no_se,1,7,1.0332,1.0354,0.9082,0.9173,,49.6932
no_se,1,8,0.9678,1.0162,0.9531,0.9241,,55.8849
no_se,1,9,0.9277,0.9942,0.9805,0.9359,,62.0369
no_se,1,10,0.9233,0.992,0.9824,0.9372,0.9436,68.1977
no_se,1,11,0.9141,0.9911,0.9785,0.9376,0.9443,74.3363
no_se,2,0,1.5547,1.5782,0.6152,0.6298,,6.1776
no_se,2,1,1.2656,1.4173,0.7832,0.7217,,12.3361
no_se,2,2,1.2275,1.2574,0.8027,0.7902,,18.5079
no_se,2,3,1.0889,1.169,0.8887,0.8452,,24.6827
no_se,2,4,1.0527,1.1085,0.918,0.8786,,30.8742
no_se,2,5,1.0615,1.0842,0.9062,0.8875,,37.0569
no_se,2,6,1.0254,1.069,0.9316,0.8999,,43.2267
no_se,2,7,1.0088,1.0338,0.9277,0.9161,,49.4031
no_se,2,8,0.9741,1.0116,0.9609,0.9268,,55.583
no_se,2,9,0.9668,0.9943,0.9473,0.935,,61.746
no_se,2,10,0.9248,0.9899,0.9805,0.9377,0.9423,67.9255
no_se,2,11,0.9189,0.9899,0.9824,0.939,0.943,74.0982
no_se,3,0,1.5654,1.4677,0.5938,0.677,,6.2042
no_se,3,1,1.2422,1.304,0.8164,0.7719,,12.405
no_se,3,2,1.168,1.2582,0.8477,0.7934,,18.6057
no_se,3,3,1.1748,1.1809,0.8359,0.836,,24.8038
no_se,3,4,1.0996,1.1579,0.8848,0.8477,,31.0004
no_se,3,5,1.0879,1.0781,0.877,0.8931,,37.185
no_se,3,6,1.0586,1.0655,0.8965,0.8977,,43.3659
no_se,3,7,1.0127,1.0343,0.9238,0.9121,,49.5559
no_se,3,8,0.9766,1.0205,0.9492,0.9231,,55.7498
no_se,3,9,0.9414,0.9968,0.9648,0.9314,,61.9195
no_se,3,10,0.9189,0.9937,0.9863,0.9358,0.9411,68.0898
no_se,3,11,0.9292,0.9939,0.9785,0.9345,0.9415,74.2636
relu,1,0,1.5879,1.3903,0.6094,0.7242,,5.955
relu,1,1,1.2549,1.3095,0.791,0.7712,,11.9074
relu,1,2,1.1914,1.2055,0.8516,0.8289,,17.8621
relu,1,3,1.167,1.3995,0.8535,0.7235,,23.8226
relu,1,4,1.1592,1.1016,0.8398,0.8862,,29.78
relu,1,5,1.0811,1.106,0.8984,0.8821,,35.7379
relu,1,6,1.0898,1.0991,0.8828,0.88,,41.6956
relu,1,7,1.0557,1.0778,0.9043,0.8905,,47.6596
relu,1,8,1.0137,1.0427,0.9375,0.9093,,53.6062
relu,1,9,0.98,1.0068,0.9531,0.9301,,59.5238
relu,1,10,0.9541,1.0025,0.9551,0.9299,0.9353,65.4443
relu,1,11,0.9331,1.0006,0.9746,0.9318,0.938,71.3776
relu,2,0,1.6133,1.4642,0.5938,0.6996,,5.9383
relu,2,1,1.2871,1.4319,0.7832,0.6873,,11.8931
relu,2,2,1.2119,1.3483,0.8301,0.7433,,17.8299
relu,2,3,1.1641,1.168,0.8457,0.8429,,23.7669
relu,2,4,1.1201,1.2538,0.8672,0.7986,,29.7047
relu,2,5,1.1006,1.1201,0.8809,0.8714,,35.6694
relu,2,6,1.0371,1.0957,0.9141,0.883,,41.6098
relu,2,7,1.0781,1.0587,0.8906,0.9017,,47.5318
relu,2,8,0.998,1.0285,0.9375,0.9184,,53.4673
relu,2,9,0.9746,1.0067,0.9453,0.93,,59.3988
relu,2,10,0.9468,0.9995,0.9688,0.9341,0.9395,65.3325
relu,2,11,0.9414,1.0031,0.9668,0.9318,0.9409,71.2343
relu,3,0,1.5762,1.4286,0.5938,0.6937,,5.9652
relu,3,1,1.2402,1.4774,0.8086,0.6596,,11.9197
relu,3,2,1.2432,1.4771,0.832,0.6768,,17.8793
relu,3,3,1.2041,1.1872,0.8359,0.831,,23.8396
relu,3,4,1.0977,1.2313,0.8887,0.809,,29.7833
relu,3,5,1.123,1.1509,0.8652,0.8514,,35.7398
relu,3,6,1.0518,1.0757,0.9023,0.893,,41.6777
relu,3,7,1.0176,1.051,0.9199,0.9056,,47.6111
relu,3,8,1.0195,1.0311,0.916,0.9149,,53.5491
relu,3,9,0.957,1.0029,0.9668,0.9309,,59.4847
relu,3,10,0.9316,1.0016,0.9746,0.9311,0.9374,65.4186
relu,3,11,0.9351,1.002,0.9785,0.9319,0.9379,71.3576
no_whitening,1,0,1.6309,1.5445,0.5625,0.6412,,6.3394
no_whitening,1,1,1.3047,1.3693,0.7656,0.7362,,12.6661
no_whitening,1,2,1.2744,1.2627,0.7695,0.7921,,18.9779
no_whitening,1,3,1.1855,1.1769,0.832,0.8363,,25.2837
no_whitening,1,4,1.1162,1.1611,0.8887,0.8505,,31.5878
no_whitening,1,5,1.1387,1.0948,0.8652,0.8822,,37.8942
no_whitening,1,6,1.0811,1.0843,0.8906,0.8907,,44.1886
no_whitening,1,7,1.0361,1.0493,0.9141,0.9071,,50.4875
no_whitening,1,8,0.9966,1.0346,0.9434,0.9157,,56.7944
no_whitening,1,9,1.0039,1.0139,0.9355,0.9251,,63.0892
no_whitening,1,10,0.9355,1.0059,0.9766,0.9302,0.935,69.4063
no_whitening,1,11,0.9341,1.0091,0.9805,0.9276,0.9366,75.7231
no_whitening,2,0,1.6484,1.4415,0.5723,0.6934,,6.3385
no_whitening,2,1,1.3057,1.6073,0.7598,0.6126,,12.681
no_whitening,2,2,1.2607,1.2067,0.7812,0.8253,,18.9979
no_whitening,2,3,1.1406,1.1907,0.8594,0.8332,,25.3021
no_whitening,2,4,1.1309,1.1944,0.8594,0.8289,,31.6023
no_whitening,2,5,1.1318,1.1175,0.8711,0.8742,,37.8858
no_whitening,2,6,1.0645,1.1021,0.9062,0.8799,,44.1723
no_whitening,2,7,1.0352,1.0819,0.9199,0.888,,50.4836
no_whitening,2,8,0.9858,1.0429,0.9473,0.9092,,56.8004
no_whitening,2,9,0.9644,1.0134,0.9609,0.9244,,63.1057
no_whitening,2,10,0.9517,1.0129,0.9668,0.9269,0.9324,69.4189
no_whitening,2,11,0.9341,1.0106,0.9746,0.9287,0.9369,75.7375
no_whitening,3,0,1.6973,1.5186,0.5449,0.6518,,6.3057
no_whitening,3,1,1.3057,1.302,0.7734,0.7737,,12.6024
no_whitening,3,2,1.2725,1.1942,0.7871,0.8344,,18.8935
no_whitening,3,3,1.1504,1.2377,0.8516,0.8086,,25.1753
no_whitening,3,4,1.1729,1.1458,0.8301,0.8613,,31.4677
no_whitening,3,5,1.0986,1.1115,0.8613,0.8761,,37.7694
no_whitening,3,6,1.0791,1.0727,0.8984,0.8932,,44.0691
no_whitening,3,7,1.0205,1.0585,0.9355,0.902,,50.3793
no_whitening,3,8,1.0,1.0305,0.9395,0.9166,,56.6866
no_whitening,3,9,0.9736,1.0123,0.957,0.9265,,62.9868
no_whitening,3,10,0.9385,1.0067,0.9688,0.9287,0.9349,69.286
no_whitening,3,11,0.9336,1.0068,0.9824,0.9284,0.936,75.597
avg_pool,1,0,1.6504,1.9002,0.5938,0.4893,,6.2314
avg_pool,1,1,1.2891,1.2712,0.7832,0.7795,,12.4727
avg_pool,1,2,1.2266,1.2836,0.8066,0.7824,,18.7253
avg_pool,1,3,1.1543,1.1407,0.8496,0.8587,,24.9745
avg_pool,1,4,1.1172,1.1596,0.8691,0.8446,,31.22
avg_pool,1,5,1.0312,1.1246,0.9316,0.8646,,37.4567
avg_pool,1,6,1.0527,1.0509,0.916,0.9059,,43.676
avg_pool,1,7,1.0332,1.0344,0.918,0.9154,,49.8962
avg_pool,1,8,0.9712,1.0324,0.9473,0.917,,56.1369
avg_pool,1,9,0.9443,0.9979,0.9648,0.934,,62.3613
avg_pool,1,10,0.9355,0.9969,0.9727,0.9352,0.9415,68.5934
avg_pool,1,11,0.9199,0.9959,0.9785,0.9356,0.9436,74.8369
avg_pool,2,0,1.6816,1.4255,0.5391,0.6904,,6.2679
avg_pool,2,1,1.2803,1.2787,0.7949,0.7818,,12.5398
avg_pool,2,2,1.1865,1.2734,0.8438,0.7796,,18.8144
avg_pool,2,3,1.1504,1.1559,0.8574,0.8496,,25.0764
avg_pool,2,4,1.1016,1.2397,0.8828,0.803,,31.3417
avg_pool,2,5,1.085,1.0899,0.8984,0.8839,,37.575
avg_pool,2,6,1.0273,1.0796,0.9297,0.8916,,43.8058
avg_pool,2,7,1.0303,1.0479,0.916,0.9061,,50.0427
avg_pool,2,8,0.9893,1.0171,0.9414,0.9248,,56.2829
